This is testing for fprintf...
Data @ Index 1023: db4c
Data @ Index 1024: dd11
Data @ Index 1025: e2a6
Data @ Index 1026: eac8
Data @ Index 1027: f294
Data @ Index 1028: fbfc
Data @ Index 1029: 4f4
Data @ Index 1030: f7c
Data @ Index 1031: 1992
Data @ Index 1032: 2465
Data @ Index 1033: 2ef1
Data @ Index 1034: 3807
Data @ Index 1035: 3942
Data @ Index 1036: 33be
Data @ Index 1037: 2cc9
Data @ Index 1038: 261d
Data @ Index 1039: 1f05
Data @ Index 1040: 16de
Data @ Index 1041: e4d
Data @ Index 1042: 5b3
Data @ Index 1043: fd36
Data @ Index 1044: f3e7
Data @ Index 1045: ec60
Data @ Index 1046: e8d2
Data @ Index 1047: e750
Data @ Index 1048: e58a
Data @ Index 1049: e4bc
Data @ Index 1050: e311
Data @ Index 1051: e1d4
Data @ Index 1052: dfbf
Data @ Index 1053: de93
Data @ Index 1054: dd2d
Data @ Index 1055: dc88
